代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数,获配百分比,有效申请数目
2571,SAIMO,200,1.0,200,200股股份,200.0,1.0,100.00%,2599
2571,SAIMO,200,2.0,400,400股股份,400.0,2.0,100.00%,523
2571,SAIMO,200,3.0,600,600股股份,600.0,3.0,100.00%,283
2571,SAIMO,200,4.0,800,600股股份另加98份中的42份将获得额外200股股份,685.7142857142857,3.4285714285714284,85.71%,98
2571,SAIMO,200,5.0,1000,600股股份另加260份中的169份将获得额外200股股份,730.0,3.65,73.00%,260
2571,SAIMO,200,6.0,1200,600股股份另加70份中的50份将获得额外200股股份,742.8571428571429,3.7142857142857144,61.90%,70
2571,SAIMO,200,7.0,1400,600股股份另加34份中的27份将获得额外200股股份,758.8235294117646,3.7941176470588234,54.20%,34
2571,SAIMO,200,8.0,1600,600股股份另加52份中的44份将获得额外200股股份,769.2307692307693,3.8461538461538463,48.08%,52
2571,SAIMO,200,9.0,1800,600股股份另加18份中的16份将获得额外200股股份,777.7777777777778,3.8888888888888893,43.21%,18
2571,SAIMO,200,10.0,2000,600股股份另加220份中的198份将获得额外200股股份,780.0,3.9,39.00%,220
2571,SAIMO,200,15.0,3000,800股股份,800.0,4.0,26.67%,86
2571,SAIMO,200,20.0,4000,800股股份另加35份中的7份将获得额外200股股份,840.0,4.2,21.00%,35
2571,SAIMO,200,25.0,5000,800股股份另加41份中的10份将获得额外200股股份,848.780487804878,4.2439024390243905,16.98%,41
2571,SAIMO,200,30.0,6000,800股股份另加33份中的17份将获得额外200股股份,903.030303030303,4.515151515151515,15.05%,33
2571,SAIMO,200,35.0,7000,800股股份另加18份中的10份将获得额外200股股份,911.1111111111111,4.555555555555555,13.02%,18
2571,SAIMO,200,40.0,8000,800股股份另加19份中的15份将获得额外200股股份,957.8947368421052,4.789473684210526,11.97%,19
2571,SAIMO,200,45.0,9000,"1,000股股份",1000.0,5.0,11.11%,8
2571,SAIMO,200,50.0,10000,"1,000股股份另加84份中的42份将获得额外200股股份",1100.0,5.5,11.00%,84
2571,SAIMO,200,100.0,20000,"2,000股股份",2000.0,10.0,10.00%,34
2571,SAIMO,200,150.0,30000,"2,800股股份",2800.0,14.0,9.33%,13
2571,SAIMO,200,200.0,40000,"3,600股股份",3600.0,18.0,9.00%,12
2571,SAIMO,200,250.0,50000,"4,400股股份",4400.0,22.0,8.80%,4
2571,SAIMO,200,300.0,60000,"5,200股股份",5200.0,26.0,8.67%,3
2571,SAIMO,200,350.0,70000,"6,000股股份",6000.0,30.0,8.57%,2
2571,SAIMO,200,400.0,80000,"6,800股股份",6800.0,34.0,8.50%,1
2571,SAIMO,200,450.0,90000,"7,600股股份",7600.0,38.0,8.44%,1
2571,SAIMO,200,500.0,100000,"8,400股股份",8400.0,42.0,8.40%,6
2571,SAIMO,200,750.0,150000,"12,400股股份",12400.0,62.0,8.27%,1
2571,SAIMO,200,1000.0,200000,"16,400股股份",16400.0,82.0,8.20%,1
2571,SAIMO,200,1250.0,250000,"20,000股股份",20000.0,100.0,8.00%,2
2571,SAIMO,200,1500.0,300000,"300,000股股份",300000.0,1500.0,100.00%,3
2571,SAIMO,200,1750.0,350000,"350,000股股份",350000.0,1750.0,100.00%,1
