代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
3986,兆易創新,100,1,100,"48,658名申请人中的974名获得100股股份",2.0,0.02
3986,兆易創新,100,2,200,"8,274名申请人中的249名获得100股股份",3.01,0.0301
3986,兆易創新,100,3,300,"15,497名申请人中的596名获得100股股份",3.85,0.0385
3986,兆易創新,100,4,400,"2,758名申请人中的127名获得100股股份",4.6,0.046
3986,兆易創新,100,5,500,"3,235名申请人中的171名获得100股股份",5.29,0.0529
3986,兆易創新,100,6,600,"3,654名申请人中的216名获得100股股份",5.91,0.0591
3986,兆易創新,100,7,700,"1,898名申请人中的123名获得100股股份",6.48,0.0648
3986,兆易創新,100,8,800,"1,546名申请人中的109名获得100股股份",7.05,0.0705
3986,兆易創新,100,9,900,"1,312名申请人中的99名获得100股股份",7.55,0.0755
3986,兆易創新,100,10,1000,"8,663名申请人中的694名获得100股股份",8.01,0.0801
3986,兆易創新,100,15,1500,"4,161名申请人中的425名获得100股股份",10.21,0.1021
3986,兆易創新,100,20,2000,"3,487名申请人中的419名获得100股股份",12.02,0.1202
3986,兆易創新,100,25,2500,"2,206名申请人中的304名获得100股股份",13.78,0.1378
3986,兆易創新,100,30,3000,"2,520名申请人中的386名获得100股股份",15.32,0.1532
3986,兆易創新,100,35,3500,"1,814名申请人中的305名获得100股股份",16.81,0.1681
3986,兆易創新,100,40,4000,"1,648名申请人中的297名获得100股股份",18.02,0.1802
3986,兆易創新,100,45,4500,"1,275名申请人中的253名获得100股股份",19.84,0.1984
3986,兆易創新,100,50,5000,"2,667名申请人中的561名获得100股股份",21.03,0.2103
3986,兆易創新,100,60,6000,"2,112名申请人中的482名获得100股股份",22.82,0.2282
3986,兆易創新,100,70,7000,"1,643名申请人中的415名获得100股股份",25.26,0.2526
3986,兆易創新,100,80,8000,"1,260名申请人中的353名获得100股股份",28.02,0.2802
3986,兆易創新,100,90,9000,"1,116名申请人中的342名获得100股股份",30.65,0.3065
3986,兆易創新,100,100,10000,"6,372名申请人中的2,040名获得100股股份",32.02,0.3202
3986,兆易創新,100,200,20000,"4,056名申请人中的1,947名获得100股股份",48.0,0.48
3986,兆易創新,100,300,30000,"3,895名申请人中的2,571名获得100股股份",66.01,0.6601
3986,兆易創新,100,400,40000,"5,709名申请人中的4,568名获得100股股份",80.01,0.8001
3986,兆易創新,100,500,50000,"1,573名申请人中的1,435名获得100股股份",91.23,0.9123
3986,兆易創新,100,600,60000,100股股份,100.0,1.0
3986,兆易創新,100,700,70000,100股股份，另760名申请人中有74名获得额外100股股份,109.74,1.0974
3986,兆易創新,100,800,80000,100股股份，另504名申请人中有101名获得额外100股股份,120.04,1.2004
3986,兆易創新,100,900,90000,100股股份，另356名申请人中有100名获得额外100股股份,128.09,1.2809
3986,兆易創新,100,1000,100000,"100股股份，另1,574名申请人中有536名获得额外100股股份",134.05,1.3405
3986,兆易創新,100,2000,200000,200股股份,200.0,2.0
3986,兆易創新,100,3000,300000,200股股份，另236名申请人中有130名获得额外100股股份,255.08,2.5508
3986,兆易創新,100,4000,400000,200股股份，另93名申请人中有86名获得额外100股股份,292.47,2.9247
3986,兆易創新,100,5000,500000,300股股份,300.0,3.0
3986,兆易創新,100,6000,600000,300股股份，另50名申请人中有34名获得额外100股股份,368.0,3.68
3986,兆易創新,100,7000,700000,400股股份,400.0,4.0
3986,兆易創新,100,8000,800000,400股股份，另34名申请人中有11名获得额外100股股份,432.35,4.3235
3986,兆易創新,100,9000,900000,400股股份，另15名申请人中有6名获得额外100股股份,440.0,4.4
3986,兆易創新,100,10000,1000000,400股股份，另26名申请人中有13名获得额外100股股份,450.0,4.5
3986,兆易創新,100,12000,1200000,500股股份,500.0,5.0
3986,兆易創新,100,14458,1445800,600股股份,600.0,6.0
